Title,Meta Score,Star Rating,Director,Year,Runtime,Rating
88. 127 Hours,82,7.5,Danny Boyle,2010,1h 34m,R
89. Black Swan,79,8.0,Darren Aronofsky,2010,1h 48m,R
90. The Fighter,79,7.8,David O. Russell,2010,1h 56m,R
91. Inception,74,8.8,Christopher Nolan,2010,2h 28m,PG-13
92. The Kids Are All Right,86,7.0,Lisa Cholodenko,2010,1h 46m,R
93. The Social Network,95,7.8,David Fincher,2010,2h,PG-13
94. Toy Story 3,92,8.3,Lee Unkrich,2010,1h 43m,G
95. True Grit,80,7.6,Ethan Coen,2010,1h 50m,PG-13
96. The Hurt Locker,95,7.5,Joel Coen,2008,2h 11m,R
97. A Serious Man,88,7.0,Kathryn Bigelow,2009,1h 46m,R
98. An Education,85,7.2,Ethan Coen,2009,1h 40m,PG-13
99. Avatar,83,7.9,Joel Coen,2009,2h 42m,PG-13
100. District 9,81,7.9,Lone Scherfig,2009,1h 52m,R
101. Inglourious Basterds,69,8.4,James Cameron,2009,2h 33m,R
102. Precious,78,7.3,Neill Blomkamp,2009,1h 50m,Not Rated
103. The Blind Side,53,7.6,Quentin Tarantino,2009,2h 9m,PG-13
104. Up,88,8.3,Lee Daniels,2009,1h 36m,PG
105. Up in the Air,83,7.4,John Lee Hancock,2009,1h 49m,R
106. Slumdog Millionaire,84,8.0,Pete Docter,2008,2h,R
107. The Curious Case of Benjamin Button,70,7.8,Bob Peterson,2008,2h 46m,PG-13
108. Frost/Nixon,80,7.6,Jason Reitman,2008,2h 2m,R
109. Milk,83,7.5,Danny Boyle,2008,2h 8m,R
110. The Reader,58,7.6,Loveleen Tandan,2008,2h 4m,R
111. No Country for Old Men,92,8.2,David Fincher,2007,2h 2m,R
112. Atonement,85,7.8,Ron Howard,2007,2h 3m,R
113. Juno,81,7.4,Gus Van Sant,2007,1h 36m,PG-13
114. Michael Clayton,82,7.2,Stephen Daldry,2007,1h 59m,R
115. There Will Be Blood,93,8.2,Ethan Coen,2007,2h 38m,R
116. The Departed,85,8.5,Joel Coen,2006,2h 31m,R
117. Babel,69,7.5,Joe Wright,2006,2h 23m,R
118. Letters from Iwo Jima,89,7.8,Jason Reitman,2006,2h 21m,R
119. Little Miss Sunshine,80,7.8,Tony Gilroy,2006,1h 41m,R
120. The Queen,90,7.3,Paul Thomas Anderson,2006,1h 43m,PG-13
121. Crash,66,7.7,Martin Scorsese,2004,1h 52m,R
122. Brokeback Mountain,87,7.7,Alejandro G. Iñárritu,2005,2h 14m,R
123. Capote,88,7.3,Clint Eastwood,2005,1h 54m,R
"124. Good Night, and Good Luck.",80,7.4,Jonathan Dayton,2005,1h 33m,PG
125. Munich,74,7.5,Valerie Faris,2005,2h 44m,R
126. Million Dollar Baby,86,8.1,Stephen Frears,2004,2h 12m,PG-13
127. The Aviator,77,7.5,Paul Haggis,2004,2h 50m,PG-13
128. Finding Neverland,67,7.6,Ang Lee,2004,1h 46m,PG
129. Ray,73,7.7,Bennett Miller,2004,2h 32m,PG-13
130. Sideways,94,7.5,George Clooney,2004,2h 7m,R
131. The Lord of the Rings: The Return of the King,94,9.0,Steven Spielberg,2003,3h 21m,PG-13
